moa_entity_name,moa_url,moa_description,nycgo_record_id,nycgo_name,similarity_score,match_confidence,needs_manual_review,notes
Age-friendly Commission,,"The Age-friendly New York City Commission is a public-private partnership that works to optimize the health and social and economic participation of all New Yorkers, regardless of age, class, race, fu",NYC_GOID_000010,Age Friendly Commission,0.957,high,no,
Archival Review Board,,The Archival Review Board sets policies around which City documents are to be retained and archived.,NYC_GOID_100013,Archival Review Board,1.0,exact,no,
"Archives, Reference and Research Advisory Board",,"The Archives, Reference and Research Advisory Board advises the Commissioner of the Department of Records and Information Systems on matters regarding the development of municipal archives, reference ",NYC_GOID_000014,"Archives, Reference and Research Advisory Board",1.0,exact,no,
Atlantic Yards Community Development Corporation,,The Atlantic Yards Community Development Corporation was developed by the Empire State Development Corporation to improve oversight and monitoring of the Atlantic Yards Project.,NYC_GOID_000016,Atlantic Yards Community Development Corporation,1.0,exact,no,
Banking Commission - Department of Finance,http://www1.nyc.gov/site/finance/about/banking-commission.page,"The Banking Commission designates the banks to hold City funds; makes an annual recommendation to the City Council on the discount rate for early payments of real estate taxes, and the interest rate t",NYC_GOID_000145,Department of Finance,0.667,low,yes,
Board of Collective Bargaining (Office of Collective Bargaining),https://www.ocb-nyc.org/,"The Board of Collective Bargaining establishes broad labor policy for the City of New York, and decides cases on grievances, settlement, bargaining issues and impasse panels.",NYC_GOID_000354,Office of Collective Bargaining,0.653,low,yes,
Board of Correction,https://www1.nyc.gov/site/boc/index.page,The Board of Correction provides independent oversight and regulation over the Department of Correction.,NYC_GOID_000021,Board of Correction,1.0,exact,no,
Board of Education Retirement System,https://www.bers.nyc.gov/,"The New York City Board of Education Retirement System was founded on August 1, 1921 to provide retirement benefits for civil service employees permanently employed by the City and School District of ",NYC_GOID_000022,Board of Education Retirement System,1.0,exact,no,
Board of Health,https://www1.nyc.gov/site/doh/about/about-doh/board-of-health.page,"The Board of Health promulgates the Health Code and provides services to promote, maintain, and enhance the health of New York City residents.",NYC_GOID_000024,Board of Health,1.0,exact,no,
Board of Standards & Appeals,https://www1.nyc.gov/site/bsa/index.page,The Board of Standards and Appeals serves as an appeals Board for determinations of the Fire Department and Buildings Department on laws concerning building and land use.,NYC_GOID_000025,Board of Standards and Appeals,0.931,medium,no,
Brooklyn Bridge Park Corporation,https://www.brooklynbridgepark.org/about/,"Announced in a press release on March 10, 2010 as the Brooklyn Bridge Park Operating Entity, the Brooklyn Bridge Park Corporation is responsible for the planning, construction, maintenance and operati",NYC_GOID_000034,Brooklyn Bridge Park Corporation,1.0,exact,no,
Brooklyn Bridge Park Development Corporation - Board of Directors,https://esd.ny.gov/brooklyn-bridge-park-development-corporation-subsidiary,"The Brooklyn Bridge Park Development Corporation is charged with the planning, design, and building of an 85-acre, 1.3-mile world-class, self-sustaining park. It connects the citizens of Brooklyn to t",NYC_GOID_000035,Brooklyn Bridge Park Development Corporation,0.807,medium,no,
Brooklyn Navy Yard Development Corp,https://brooklynnavyyard.org/,"The Brooklyn Navy Yard Corporation operates the Navy Yard under a long-term lease with the City, and promotes urban renewal, employment, economic development including manufacturing and services. The ",NYC_GOID_000037,Brooklyn Navy Yard Development Corporation,0.909,medium,no,
Brooklyn Public Library - Board of Trustees,https://www.bklynlibrary.org/about/trustees,The Brooklyn Public Library Board of Trustees oversees library management and determines library policies.,NYC_GOID_000038,Brooklyn Public Library,0.697,low,yes,
Build NYC Resource Corporation,https://edc.nyc/build-nyc,"Build NYC Resource Corporation, a local development corporation, is administered by NYCEDC and assists qualified projects in obtaining tax-exempt and taxable bond financing. As a conduit bond issuer, ",NYC_GOID_100014,Build NYC Resource Corporation,1.0,exact,no,
Campaign Finance Board,http://www.nyccfb.info/,The Campaign Finance Board provides public funding to candidates for City elective offices who choose to participate in the City's public financing program and monitors candidates' campaign contributi,NYC_GOID_000042,Campaign Finance Board,1.0,exact,no,
Central Park Conservancy - Board of Trustees,https://www.centralparknyc.org/,The Central Park Conservancy is a private not-for-profit organization founded in 1980 that manages Central Park under a contract with the New York City Department of Parks and Recreation.,NYC_GOID_000048,Central Park Conservancy,0.706,low,yes,
Child Fatality Review Advisory Team,,"The Child Fatality Review Advisory Team (CFRAT) works to better understand unnatural deaths among children and to identify strategies for injury prevention. The CFRAT reviews aggregate data, not indiv",NYC_GOID_000058,Child Fatality Review Advisory Team,1.0,exact,no,
City Planning Commission,https://www1.nyc.gov/site/planning/about/commission.page,"The City Planning Commission is responsible for the conduct of planning relating to the orderly growth and development of the City, including adequate and appropriate resources for the housing, busine",NYC_GOID_000098,City Planning Commission,1.0,exact,no,
City University Construction Fund - Board of Trustees,https://www.cuny.edu/about/administration/offices/fpcm/cucf/,The City University Construction Fund is the vehicle through which facilities are provided for senior and community colleges and graduate institutions of The City University of New York.,NYC_GOID_000100,City University Construction Fund,0.767,low,yes,
City University of New York - Board of Trustees,https://www.cuny.edu/about/trustees/the-board-of-trustees/,"The CUNY Board of Trustees is the governing board of the CUNY public higher education complex which spans the five boroughs and encompasses six community colleges, ten senior colleges, a technical col",NYC_GOID_000099,City University of New York,0.73,low,yes,
Civil Service Commission,https://www1.nyc.gov/site/csc/index.page,"The Civil Service Commission (""CSC"") is an independent, ""quasi-judicial"" agency authorized to hear and decide appeals from determinations made under sections 50 and 76 of the New York State Civil Serv",NYC_GOID_000103,Civil Service Commission,1.0,exact,no,
Civil Service Commission - Screening Committee,,"The Civil Service Screening Committee submits to the Mayor a list of nominees, which shall include persons with knowledge or experience of the civil service system, or personnel management, or compens",NYC_GOID_000103,Civil Service Commission,0.686,low,yes,
Civilian Complaint Review Board,https://www1.nyc.gov/site/ccrb/index.page,"The New York City Civilian Complaint Review Board (CCRB) is an independent agency. It is empowered to receive, investigate, mediate, hear, make findings, and recommend action on complaints against New",NYC_GOID_000105,Civilian Complaint Review Board,1.0,exact,no,
Climate Change Adaptation Task Force,,The Climate Change Adaptation Task Force is responsible for reviewing the climate change projections as recommended by the New York City Panel on Climate Change and advising the City on adaptation.,NYC_GOID_000106,Climate Change Adaptation Taskforce,0.986,high,no,
Commission on Gender Equity,,"The Commission on Gender Equity will work to advance gender equity through public safety, economic mobility, and equality by focusing on the needs of women and girls, regardless of race, ethnicity, cl",NYC_GOID_000111,Commission on Gender Equity,1.0,exact,no,
Commission on Human Rights,https://www1.nyc.gov/site/cchr/index.page,"The Commission on Human Rights, the governing board of the city office, works to eliminate discrimination on the basis of race, color, creed, gender, marital status, age, sexual orientation and physic",NYC_GOID_000096,City Commission on Human Rights,0.912,medium,no,
Commission on Public Information and Communication,,"In addition to publication of the Public Data Directory, the Commission on Public Information and Communication's responsibilities include education and outreach to assist the public in obtaining acce",NYC_GOID_000112,Commission on Public Information and Communication,1.0,exact,no,
Community Action Board - Dept. of Youth and Community Development,https://www1.nyc.gov/site/dycd/involved/boards-and-councils/community-action-board.page,The Community Action Board is a Citywide body that oversees community action initiatives under the federal Community Services Block Grant program. The CAB is comprised of 22 residents of low-income co,NYC_GOID_000116,Community Action Board at the NYC Department of Youth and Community Development,0.881,medium,no,
Community Investment Advisory Board,,The NYC Responsible Banking Act requires the establishment of a Community Investment Advisory Board (CIAB) to conduct an assessment of banking services needs throughout New York City and to evaluate t,NYC_GOID_000337,Nightlife Advisory Board,0.678,low,yes,
Community Services Board (Mental Hygiene Advisory Board),,"The Mental Hygiene Advisory Board advises the Commissioner of Health and Mental Hygiene on programs, services and facilities.",NYC_GOID_000121,Community Services Board - Mental Health Subcommittee,0.661,low,yes,
Conflicts of Interest Board,https://www1.nyc.gov/site/coib/index.page,"The Conflicts of Interest Board is the independent New York City agency tasked with administering, enforcing and interpreting Chapter 68 of the New York City Charter, the City's Conflicts of Interest ",NYC_GOID_000124,Conflicts of Interest Board,1.0,exact,no,
Convention Center Development Corporation - Board of Directors,https://esd.ny.gov/subsidiaries_projects/ccdc.html,The Convention Center Development Corporation oversees the renovation and expansion of the Jacob K. Javits Convention Center.,NYC_GOID_000125,Convention Center Development Corporation,0.796,low,yes,
Convention Center Operation Corporation - Board of Directors,,NYCCOC was established in 1979 to maintain and operate the Jacob K. Javits Convention Center. It will approve the plan and design of the convention center expansion project and the hotel to be finance,NYC_GOID_000126,Convention Center Operating Corporation (Javits),0.796,low,yes,
Council for Airport Opportunity Board of Directors,https://www.caonynj.com/,The Council for Airport Opportunity's mission is to identify and address the critical employment needs of the communities surrounding the New York/New Jersey metropolitan airports while responding to ,NYC_GOID_000127,Council for Airport Opportunity,0.765,low,yes,
Cultural Affairs Advisory Commission - Department of Cultural Affairs,https://www1.nyc.gov/site/dcla/about/advisory-commission.page,The Cultural Affairs Advisory Commission advises the Mayor and Commissioner of Cultural Affairs on cultural activities in the city and organizes the Mayor's Awards of Honor for Art and Culture.,NYC_GOID_100016,Cultural Affairs Advisory Commission,0.686,low,yes,
Cultural Institutions Representatives,,"The Mayor may appoint representatives to the following Cultural Institutions: American Museum of Natural History, Bronx County Historical Society, Bronx Museum of the Arts, Brooklyn Academy of Music, ",NYC_GOID_000130,Cultural Institutions Retirement System,0.816,medium,no,
Deferred Compensation Board,https://www1.nyc.gov/site/olr/deferred/dcphome.page,"The Deferred Compensation Board serves as trustee of the Deferred Compensation Plan, and provides for the investment of funds pursuant to the Plan and for the administration of the Plan for the benefi",NYC_GOID_000133,Deferred Compensation Board,1.0,exact,no,
Domestic Violence Fatality Review Committee,,"The Domestic Violence Fatality Review Committee examines information on domestic violence fatalities that occur in New York City, and forumlates recommendations to improve services and reduce domestic",NYC_GOID_000174,Domestic Violence Fatality Review Committee,1.0,exact,no,
Environmental Control Board,https://www1.nyc.gov/site/oath/hearings/hearing-online.page,The Environmental Control Board is a quasi-judicial body within the Office of Administrative Trials and Hearings that formulates policies and holds hearings for individuals and businesses that have re,NYC_GOID_000182,Environmental Control Board,1.0,exact,no,
Equal Employment Practices Commission,https://www1.nyc.gov/site/eepc/index.page,"The Equal Employment Practices Commission is the independent monitor of the City of New York's employment practices.The Commission monitors and evaluates the employment programs, practices, and proced",NYC_GOID_000185,Equal Employment Practices Commission,1.0,exact,no,
Financial Information Services - Board of Directors,,"The board advises FISA, which is an information technology services agency responsible for providing City officials with Citywide financial, payroll and human resources information.",NYC_GOID_000190,Financial Information Services Agency,0.773,low,yes,
Fire Department Pension Fund Board,,The Fire Department Pension Fund Board oversees and administers the FDNY pension fund and annuities.,NYC_GOID_000192,Fire Department Pension Fund and Related Funds,0.8,medium,no,
Food Service Establishment Advisory Board,,The Food Service Establishment Advisory Board advises the Commissioner of the Department of Health and Mental Hygiene on matters related to the food service establishment sanitary inspection program a,NYC_GOID_000195,Food Service Establishment Advisory Board,1.0,exact,no,
Franchise and Concession Review Committee,https://www1.nyc.gov/site/mocs/reporting/about-franchises-concessions.page,The Franchise and Concession Review Committee establishes procedures for granting concessions through public bidding or by other means designed to ensure a competitive and fair process.,NYC_GOID_000197,Franchise and Concession Review Committee,1.0,exact,no,
Governors Island Corp. / Trust for Governors Island,https://www.govisland.com/,"The Trust for Governors Island is charged with the operations, planning and redevelopment of 150 acres of Governors Island. The Trust is transforming Governors Island into a destination with great pub",NYC_GOID_000449,Trust for Governors Island,0.684,low,yes,
GrowNYC,https://www.grownyc.org/,GrowNYC promotes environmental appreciation and concern among New Yorkers and develops solutions to the environmental problems of the city. Its Greenmarkets program organizes and manages farmers marke,NYC_GOID_000208,GrowNYC,1.0,exact,no,
Health and Hospitals Corporation - Board of Directors,https://www.nychealthandhospitals.org/?nycGovRedirect,The Health and Hospitals Corporation adopts and monitors policies for the delivery of healthcare services for hospitals within its jurisdiction.,NYC_GOID_000212,Health and Hospitals Corporation Personnel Review Board,0.722,low,yes,
HIV / AIDS Services Administration (HASA) Advisory Board,,"HIV/AIDS services are administered by the HIV/AIDS Services Administration's (HASA) Board, part of HRA's Office of Special Services. HASA expedites access to essential benefits and social services nee",NYC_GOID_000214,HIV/AIDS Services Advisory Board,0.727,low,yes,
HIV Health and Human Services Planning Council,,"The HIV Health and Human Services Planning Council determines priorities for allocation of funds received through Title I of the Ryan White Comprehensive AIDS Resources Emergency (CARE) Act of 1990, a",NYC_GOID_000213,HIV Planning Council,0.606,low,yes,
Housing Development Corporation,https://www.nychdc.com/,The Housing Development Corporation is a public benefit corporation that encourages the investment of private capital through low-interest mortgage loans and provides safe and sanitary dwellings for f,NYC_GOID_000215,Housing Development Corporation,1.0,exact,no,
Hudson River Park Trust - Board of Directors,https://hudsonriverpark.org/about-us/hudson-river-park-trust/hudson-river-park-trust-board-of-directors/,"The Hudson River Park Trust is a public benefit corporation with authority over the planning, design, construction, operation and maintenance of the 550 acre Hudson River Park on the west side of Manh",NYC_GOID_000218,Hudson River Park Trust,0.687,low,yes,
Hurricane Sandy Charitable Organizations and Houses of Worship Recovery Taskforce,,The Hurricane Sandy Charitable Organizations and Houses of Worship Recovery Taskforce is charged with making recommendations to the Mayor and Council regarding the recovery and rebuilding of charitabl,NYC_GOID_000221,Hurricane Sandy Charitable Organizations and Houses of Worship Recovery Taskforce,1.0,exact,no,
Industrial Development Agency,https://edc.nyc/nycida,The Industrial Development Agency encourages the expansion of local firms and relocation of non-local firms to New York City by offering below market rate financing.,NYC_GOID_000224,Industrial Development Agency,1.0,exact,no,
"Jamaica Bay - Rockaway Parks Conservancy, Inc.",http://www.jbrpc.org/about/,"As part of the 2012 cooperative management agreement, Jamaica Bay - Rockaway Parks Conservancy was formed as a public-private partnership to help coordinate and advance the conservation, restoration, ",NYC_GOID_000230,"Jamaica Bay - Rockaway Parks Conservancy, Inc.",1.0,exact,no,
Landmarks Preservation Commission,https://www1.nyc.gov/site/lpc/index.page,"The Landmarks Preservation Commission designates, preserves and monitors landmarks and historic districts in New York City.",NYC_GOID_000236,Landmarks Preservation Commission,1.0,exact,no,
Latin Media and Entertainment Commission,,The Latin Media and Entertainment Commission works with the Mayor's Office to create and execute a strategy to position New York City as a global capital for the Latin media and entertainment industry,NYC_GOID_000237,Latin Media and Entertainment Commission,1.0,exact,no,
Loft Board,https://www1.nyc.gov/site/loftboard/index.page,The Loft Board oversees the legislation and regulation of loft buildings which have been converted to residential use.,NYC_GOID_000240,New York City Loft Board,1.0,high,no,
Lower Manhattan Development Corporation,http://www.renewnyc.com/,The Lower Manhattan Development Corporation is a joint State-City corporation formed by the Governor and Mayor to oversee the rebuilding and revitalization of Lower Manhattan.,NYC_GOID_000241,Lower Manhattan Development Corporation,1.0,exact,no,
Mayor's Advisory Committee on the Judiciary,https://www1.nyc.gov/site/macj/index.page,"The Mayor's Advisory Committee on the Judiciary submits recommendations to the Mayor for judicial appointments to Criminal Court, Family Court, and for interim appointments to Civil Court.",NYC_GOID_000245,Mayor's Advisory Committee on the Judiciary,1.0,exact,no,
Mayor's Committee on City Marshals,https://www1.nyc.gov/site/marshals/index.page,The Mayor's Committee on Marshals' four functions are to (1) establish and publish qualifying criteria for appointment to the office of City Marshal; (2) recruit and receive alphabetStarts of candidat,NYC_GOID_000247,Mayor's Committee on City Marshals,1.0,exact,no,
Mayor's Fund to Advance New York,https://www1.nyc.gov/site/fund/index.page,"The Mayor's Fund to Advance New York leverages municipal resources with public-private partnerships that provide fund raising, program development, and technical assistance exclusively to New York Cit",NYC_GOID_000248,Mayor's Fund to Advance New York City,0.928,medium,no,
Metropolitan Transportation Authority Board of Directors,https://new.mta.info/transparency/leadership/board-members,The MTA Board oversees the development and improvement of public transportation services in the five boroughs and various New York State counties.,NYC_GOID_000476,Metropolitan Transportation Authority,0.796,low,yes,
Moynihan Station Development Corporation,https://esd.ny.gov/moynihan-station-development-corporation-subsidiary,The Moynihan Station Development Corporation was created to finance and manage the redevelopment of the James A. Farley Post Office building into the new Pennsylvania Station.,NYC_GOID_000299,Moynihan Station Development Corporation,1.0,exact,no,
MTA Capital Program Review Board,,"The MTA Capital Program Review Board is responsible for approving the MTA's capital plan. The Mayor's representative to the Board can veto the plan, giving the City tremendous leverage over the projec",NYC_GOID_100013,Archival Review Board,0.679,low,yes,
New York City Employees' Retirement System (NYCERS) Board of Trustees,https://www.nycers.org/board-trustees,"The Board of Trustees is the governing body of NYCERS. It establishes the rules and regulations, carries out the provisions of laws, and is responsible for investing money wisely to ensure sufficient ",NYC_GOID_000316,New York City Employee Retirement System,0.642,low,yes,
"New York City Global Partners, Inc - Board of Directors",http://www.nyc.gov/html/unccp/scp/html/about/organization.shtml,New York City Global Partners is a non-profit that works to create a global platform from which the City of New York can promote successful initiatives in local communities as well as engage the inter,,,0.571,none,yes,
New York City Housing Authority Board (NYCHA),https://www1.nyc.gov/site/nycha/index.page,"The NYCHA Board sets the strategic direction, policy and priorities of the NYC Housing Authority's public housing developments and Leased Housing programs for low-income New Yorkers.",NYC_GOID_000320,New York City Housing Authority Board,0.852,medium,no,
New York City Panel on Climate Change,,The New York City Panel on Climate Change (NPCC) is an independent body that advises the City on climate risks and resiliency.,NYC_GOID_000324,New York City Panel on Climate Change,1.0,exact,no,
New York Public Library,https://www.nypl.org/help/about-nypl/leadership/board-trustees,"The Board of the NYPL steers the library, which has branches in Staten Island, the Bronx, and Manhattan.",NYC_GOID_000335,New York Public Library,1.0,exact,no,
NYC & Co,https://business.nycgo.com/,"NYC & Company is New York City's official marketing, tourism and partnership organization. Its mission is to maximize travel and tourism opportunities throughout the five boroughs, build economic pros",NYC_GOID_000310,New York City Tourism + Conventions,0.615,low,yes,
NYC Economic Development Corporation Board of Directors,https://business.nycgo.com/,"The Economic Development Corporation was established to protect and enhance the City's job and revenue base through the provision of comprehensive economic development services by providing business, ",NYC_GOID_000177,Economic Development Corporation,0.771,low,yes,
NYC Land Development Corporation,,The Land Development Corporation is a local development corporation.,NYC_GOID_000235,Land Development Corporation,1.0,high,no,
Office of Payroll Adminstration - Board of Directors,https://www1.nyc.gov/site/opa/index.page,"OPA is responsible for coordinating matters of payroll policy and procedure among City oversight and line agencies; ensuring City compliance with applicable Federal, State, and City employment tax reg",NYC_GOID_000377,Office of Payroll Administration,0.738,low,yes,
OneNYC,,"OneNYC is a groundbreaking effort to address New York City's long-term challenges: the forecast of 9 million residents by 2040, changing climate conditions, an evolving economy, and aging infrastructu",NYC_GOID_000430,Sustainability Advisory Board,1.0,exact,no,
Panel on Education Policy,https://www.schools.nyc.gov/about-us/leadership/panel-for-education-policy,The Panel on Education Policy has the ability to set Citywide educational policy for the New York City public school system. The Panel for Educational Policy is a part of the governance structure resp,NYC_GOID_000387,Panel on Educational Policy,0.962,high,no,
Police Department Pension Fund,https://www1.nyc.gov/html/nycppf/html/home/home.shtml,The Police Department Pension Fund establishes rules and regulations for the administration of the NYPD pension fund.,NYC_GOID_000390,New York City Police Pension Fund,0.776,low,yes,
Procurement Policy Board,https://www1.nyc.gov/site/mocs/legal-forms/about-procurement-policy-board-ppb.page,"The Procurement Policy Board establishes comprehensive and consistent policies and rules governing the procurement of goods, services and construction by all city agencies, monitors the effectiveness ",NYC_GOID_000392,Procurement Policy Board,1.0,exact,no,
Prospect Park Alliance - Board of Directors,https://www.prospectpark.org/learn-more/who-we-are/board/,"The Prospect Park Alliance is a public-private partnership with the City of New York which, through fund raising and advocacy, furthers the restoration and preservation of Prospect Park and the develo",NYC_GOID_000394,Prospect Park Alliance,0.677,low,yes,
Public Design Commission,https://www1.nyc.gov/site/designcommission/index.page,"The Public Design Commission reviews and approves art and architecture to be placed on City property, and preserves City-owned works of art such as the portrait collection in City Hall.",NYC_GOID_000397,Public Design Commission,1.0,exact,no,
Quadrennial Advisory Commission for the Review of Compensation Levels of Elected Officials,,"The Quadrennial Advisory Commission for the Review of Compensation Levels of Elected Officials studies the compensation levels for the Mayor, Public Advocate, Comptroller, Borough Presidents, City Cou",,,0.436,none,yes,
Queens Borough Public Library - Board of Trustees,https://www.queenslibrary.org/about-us/queens-public-library-overview/leadership/board-of-trustees,The Queens Borough Public Library Board of Trustees determines policies and oversees management of the Queens public library system.,NYC_GOID_000402,Queens Public Library,0.6,low,yes,
"Randall's Island Park Alliance, Inc.",https://randallsisland.org/,The Randall's Island Park Alliance has an operating agreement with the NYC Department of Parks and Recreation for the development and improvement of Randall's Island.,NYC_GOID_000405,Randall's Island Park Alliance,0.938,medium,no,
Rent Guidelines Board,https://rentguidelinesboard.cityofnewyork.us/,The Rent Guidelines Board sets rent adjustment levels for apartments subject to the Rent Stabilization Law.,NYC_GOID_000408,Rent Guidelines Board,1.0,exact,no,
Roosevelt Island Operating Corporation - Board of Directors,https://rioc.ny.gov/149/Board-of-Directors,"The Roosevelt Island Operating Corporation is a public benefit corporation that operates, manages and develops Roosevelt Island.",NYC_GOID_000414,Roosevelt Island Operating Corporation,0.784,low,yes,
School Construction Authority - Board of Trustees,http://www.nycsca.org/Quick-Links-Home/About-the-SCA/SCA-Board-of-Trustees,"The School Construction Authority is responsible for the design, construction, modernization and rehabilitation of public schools in New York City.",NYC_GOID_000416,School Construction Authority,0.744,low,yes,
Senior Advisory Council,https://www1.nyc.gov/site/dfta/about/advisory-council.page,The Department for the Againg Advisory Council makes recommendations to and advises the Commissioner of the Department.,NYC_GOID_000418,Senior Advisory Council,1.0,exact,no,
Soil & Water Conservation District Board - Board of Directors,https://www.soilandwater.nyc/,"The Soil and Water Conservation District is part of a nationwide system of 3,000 districts. It assists New Yorkers and local decision-makers in making wise use of the City's soil, water and related re",NYC_GOID_000424,Soil and Water Conservation District,0.68,low,yes,
State Fire Prevention and Building Code Council,https://dos.ny.gov/state-fire-prevention-and-building-code-council,"The State Fire Prevention and Building Code Council is empowered to maintain and periodically update the Uniform Fire Prevention and Building Code and State Energy Conservation Construction Code, and ",NYC_GOID_000427,State Fire Prevention and Building Code Council,1.0,exact,no,
SWMP Converted Marine Transfer Station Community Advisory Group - Gansevoort (Manhattan),,"The Community Advisory Group advises the Mayor and other elected officials on the development, construction and operation of the Gansevoort Marine Transfer Station.",,,0.51,none,yes,
Tax Appeals Tribunal - Office of Administrative Tax Appeals,https://www1.nyc.gov/site/taxappeals/about/about.page,The Tax Appeals Tribunal has the jurisdiction to hear and determine cases initiated by the filing of petitions protesting notices issued by the Commissioner of Finance involving NYC-administered taxes,NYC_GOID_000345,Office of Administrative Tax Appeals,0.758,low,yes,
Tax Commission - Office of Administrative Tax Appeals,https://www1.nyc.gov/site/taxcommission/index.page,"New York City's Tax Commission is the administrative review body for hearing protests of property tax assessments set by the Department of Finance, and, when appropriate, for correcting such assessmen",NYC_GOID_000345,Office of Administrative Tax Appeals,0.809,medium,no,
Taxi and Limousine Commission,https://www1.nyc.gov/site/tlc/index.page,The Taxi and Limousine Commission licenses and regulates the taxi and limousine industries in New York City.,NYC_GOID_000436,New York City Taxi and Limousine Commission,1.0,exact,no,
Taxi and Limousine Commission Advisory Board,,The Taxi and Limousine Commission Advisory Board enables the commission to be kept aware of current views of all segments of the industries regulated by the commission and of the public and to be avai,NYC_GOID_000436,New York City Taxi and Limousine Commission,0.795,low,yes,
Teachers' Retirement Board - Teachers' Retirement System,https://www.trsnyc.org/memberportal/About-Us/ourRetirementBoard,The Teachers' Retirement Board oversees and acts as fiduciary for the New York City teachers' pension fund.,,,0.565,none,yes,
Technology Development Corporation,,The NYC Technology Development Corporation is a non-profit organization serving New York City by providing standardized information technology project support to selected agency projects through the c,NYC_GOID_000177,Economic Development Corporation,0.848,medium,no,
"Theater Subdistrict Council, LDC",,"The Theatre Subdistrict Council administers the Theater Subdistrict Fund and allocates grants with the goal of promoting the production of new theater work, developing new audiences, and showcasing Br",NYC_GOID_000442,Theater Subdistrict Council Local Development Corporation,0.705,low,yes,
Transit Riders Council - NYC Transit Authority Advisory Council,https://pcac.org/about/,The Transit Riders Council is one of three advisory councils that make up the Permanent Citizens Advisory Committee (PCAC) of the Metropolitan Transportation Authority (MTA). The mission of the PCAC i,NYC_GOID_000330,New York City Transit Riders Council,0.701,low,yes,
Trust for Cultural Resources,,The Trust for Cultural Resources was established to provide assistance to eligible museums and other participating cultural institutions to expand their facilities and increase their revenues through ,NYC_GOID_000448,Trust for Cultural Resources,1.0,exact,no,
United Nations Development Corporations,https://undc.org/,The United Nations Development Corporation is a New York State public benefit corporation that assists the United Nations community with its office space and other real estate needs. Among its most im,NYC_GOID_000452,United Nations Development Corporation,0.987,high,no,
Veterans' Advisory Board - Mayor's Office of Veterans' Affairs,https://www1.nyc.gov/site/veterans/community/veterans-advisory-board.page,"The Veterans' Advisory Board advises the Director of Veterans' Affairs on all matters concerning veterans, determines its own rules of procedure, and submits an annual report of its activities to the ",,,0.598,none,yes,
Voter Assistance Advisory Committee,http://www.nyccfb.info/about/vaac,"The Voter Assistance Advisory Committee shall assist the Campaign Finance Board with its duties and responsibilities, including but not limited to overseeing the voter assistance program.",NYC_GOID_000458,Voter Assistance Advisory Committee,1.0,exact,no,
Water Board,https://www1.nyc.gov/site/nycwaterboard/index.page,"The New York City Water Board's mission is to establish rates for and distribute the collected revenues of the Water and Sewer System of the City of New York, proactively considering the optimal level",NYC_GOID_000459,New York City Water Board,1.0,high,no,
Waterfront Management Advisory Board,,"The Waterfront Management Advisory Board shall consult with and advise the Deputy Mayor for Economic Development, the Commissioner of Small Business Services, and the City Planning Commission on any m",NYC_GOID_000460,Waterfront Management Advisory Board,1.0,exact,no,
Workforce Development Board,,The Workforce Development Board's responsibilities include developing the City's strategy under the Workforce Innovation and Opportunity Act (WIOA) to improve the skills of New York's workforce to bet,NYC_GOID_000461,Workforce Development Board,1.0,exact,no,
"World Trade Center Captive Insurance Company, Inc.",,The World Trade Center Captive Insurance Company is a public benefit corporation formed to provide insurance for risks incurred by the City of New York and its affiliated companies related to the atta,NYC_GOID_000465,Perelman Performing Arts Center,0.607,low,yes,
World Trade Center Memorial Foundation - Board of Directors National September 11 Memorial and Museum at the WTC,https://www.911memorial.org/about/board-trustees,"The National September 11 Memorial & Museum will build, program, own and operate the memorial and museum at Ground Zero that have been planned by the Lower Manhattan Development Corporation.",,,0.536,none,yes,
Young Men's Initiative Advisory Board,http://www.nyc.gov/html/ymi/html/about/advisory-board.shtml,"The purpose of the Young Men's Initiative Advisory Board is to advise, advocate and support YMI initiatives and policies that will strengthen opportunity, access, and angagement for young men of color",NYC_GOID_100025,Young Men's Initiative Advisory Board,1.0,exact,no,
Youth Board (DYCD),https://www1.nyc.gov/site/dycd/involved/boards-and-councils/nyc-youth-board.page,The Youth Board advises the Department of Youth and Community Development on the development of youth programs.,NYC_GOID_100026,Youth Board,0.759,low,yes,
